ID_JF	N	niche.mean	niche.med	niche.sd	bio	long	lat	Temp	Alt	Area	Brealm
EAJF187759	1000	0.200157895	0.210526316	0.1269721	0.257954	107.3	11.5	26.4	29	102	Oriental
EAJF212938	1000	0.206105263	0.210526316	0.119765724	0.261736	99.1	14.7	24.2	11	71	Oriental
EAJF221980	1000	0.226263158	0.210526316	0.127227439	0.508447	76.5	16.5	26.1	146	69	Oriental
EAJF225969	1000	0.184578948	0.210526316	0.112667647	0.426836	100	17.2	28	16	44	Oriental
EAJF230905	1000	0.16931579	0.157894737	0.112346756	0.64932	102.6	18.8	26.2	112	136	Oriental
EAJF273587	1000	0.246736842	0.210526316	0.143773041	0.18457	121.5	24.9	23.1	75	74	Oriental
EAJF276415	1000	0.190210526	0.157894737	0.129232049	0.639623	98	19.9	23.7	117	70	Oriental
EAJF286913	1000	0.231842105	0.210526316	0.137021671	0.664553	85.2	27.1	22.1	132	3	Oriental
EAJF300093	1000	0.197684211	0.210526316	0.110987895	0.787588	107.7	30.4	16.5	121	45	Palearctic
EAJF404178	1000	0.342263158	0.368421053	0.197814353	0.083839	-0.9	41.9	14.1	50	142	Palearctic
EAJF414843	1000	0.368842105	0.368421053	0.184602877	0.030511	2.4	43.1	13.4	55	150	Palearctic
EAJF418671	1000	0.362263158	0.368421053	0.19850924	0.01462	-0.5	43.4	10.3	83	39	Palearctic
EAJF419298	1000	0.382526316	0.368421053	0.203685932	0.023409	6.3	43.5	12.5	14	94	Palearctic
EAJF420040	1000	0.419789474	0.421052632	0.189535022	0.021213	3	43.6	11.4	115	22	Palearctic
EAJF421856	1000	0.364789474	0.368421053	0.194437087	0.057726	3.5	43.8	12.1	115	63	Palearctic
EAJF423672	1000	0.320631579	0.315789474	0.195101204	0.029574	1.5	44	12.7	65	112	Palearctic
EAJF434188	1000	0.346684211	0.368421053	0.204733206	0.016366	1.3	45.2	11.7	13	58	Palearctic
EAJF43491	1000	0.21731579	0.210526316	0.125369626	0.708164	141.9	-6.4	26.6	51	139	Australian
EAJF435390	1000	0.32931579	0.315789474	0.218812175	0.171796	9.1	45.3	12.3	67	134	Palearctic
EAJF440917	1000	0.346421053	0.368421053	0.199303605	0.063458	5.7	45.7	9.8	69	2	Palearctic
EAJF441536	1000	0.35	0.368421053	0.180513758	0.013217	-0.1	45.8	12.8	70	1	Palearctic
EAJF446340	1000	0.259526316	0.263157895	0.164897811	0.20361	20.3	46.4	10.9	56	140	Palearctic
EAJF450677	1000	0.363421053	0.368421053	0.185277865	0.019215	1.6	46.9	11.4	5	15	Palearctic
EAJF455183	1000	0.362	0.368421053	0.189225291	0.013001	-1.9	47.9	11.7	7	5	Palearctic
EAJF457091	1000	0.397421053	0.421052632	0.175323172	0.020124	3.3	48.7	10.4	109	131	Palearctic
EAJF458997	1000	0.328473684	0.315789474	0.189384971	0.041836	8.2	49.2	10	54	51	Palearctic
EAJF460275	1000	0.232631579	0.210526316	0.145354922	0.254098	126.2	49.5	-1.2	43	47	Palearctic
EAJF461125	1000	0.407631579	0.473684211	0.158078805	0.014658	2.5	49.9	9.7	27	118	Palearctic
EAJF462623	1000	0.355947369	0.368421053	0.172737472	0.019776	5.4	50.4	8.7	124	87	Palearctic
EAJF466057	1000	0.338736842	0.315789474	0.181390304	0.022941	13.1	51.2	9.3	24	30	Palearctic
EAJF469215	1000	0.464	0.473684211	0.158675554	0.01319	-0.8	51.6	9.3	36	11	Palearctic
EAJF471063	1000	0.336947369	0.315789474	0.162868776	0.068607	21.5	51.7	7.9	26	46	Palearctic
EAJF471873	1000	0.385473684	0.368421053	0.174384569	0.042079	16.9	51.8	8.3	147	17	Palearctic
EAJF473143	1000	0.35431579	0.368421053	0.179934305	0.012066	9.6	52	7.4	118	103	Palearctic
EAJF475339	1000	0.438105263	0.473684211	0.14099174	0.012632	0.1	52.3	10	137	146	Palearctic
EAJF480215	1000	0.426368421	0.421052632	0.136756558	0.012647	-1.4	53	9.2	116	13	Palearctic
EAJF516184	1000	0.327473684	0.315789474	0.157593411	0.082049	47.4	56	3.9	21	26	Palearctic
NAJF11945	1000	0.324052632	0.263157895	0.162476343	0.066917	-103.8	56.3	-2.6	141	153	Nearctic
