"","GRIDCODE","lat","long","SST","Prod","Dist","bio","TL.mean","TL.med"
"130",268,13,160,27.9,-0.04,2541,0.386916288,3.49802419456452,3.5
"131",269,13,168,28,-0.04,3054,0.366372237,3.55962701537298,3.53
"132",273,5,-160,27.7,-0.12,1645,0.292712033,3.60896690008425,3.55
"133",282,5,-88,27.4,-0.11,636,0.379738061,3.560979998447,3.5
"134",283,5,-80,27.7,0.04,279,0.464410468,3.58803229043592,3.5
"135",286,5,-56,27.7,-0.15,0,0.388079614,3.6145686289742,3.51
"136",287,5,-48,27.6,-0.12,360,0.346041883,3.57125971245706,3.5
"137",288,5,-40,27.3,-0.15,853,0.310586397,3.6378002005227,3.51
"138",289,5,-32,27.1,-0.07,1177,0.307555454,3.62280524500101,3.5
"139",290,5,-24,27.2,-0.09,1144,0.343732738,3.7050470932475,3.68
"140",291,5,-16,27.2,-0.13,488,0.408742413,3.70519038022946,3.66
"141",292,5,-8,27.5,-0.05,0,0.390813389,3.69409577003528,3.62
"142",293,5,0,26.4,-0.11,93,0.395091374,3.69292592695195,3.66
"143",294,5,8,26.4,-0.06,0,0.365616568,3.6915766118004,3.61
"144",299,5,48,26.5,-0.09,0,0.421938076,3.5293699991,3.4
"145",300,5,56,27.9,-0.07,761,0.340217415,3.71683569889047,3.619999886
"146",302,5,72,28.7,-0.05,683,0.507976653,3.49611955361601,3.450000048
"147",303,5,80,28.4,-0.03,145,0.538786172,3.46543561460966,3.45
"148",305,5,96,28.8,0.04,0,0.566620883,3.464110886059,3.47
"149",306,5,104,28.6,0.02,61,0.540856416,3.5153869639613,3.5
"150",307,5,112,28.4,0.11,193,0.585014037,3.55402740906497,3.5
"151",308,5,120,28.8,-0.06,40,0.62467563,3.46518346633468,3.46
"152",309,5,128,28.8,0.04,129,0.578551559,3.47304959619534,3.46
"153",310,5,136,28.9,-0.07,323,0.48931564,3.43072948400304,3.41
"154",311,5,144,29,-0.1,877,0.427128222,3.50466901532897,3.49
"155",312,5,152,28.9,-0.11,827,0.43520248,3.56928857657615,3.5
"156",313,5,160,28.6,-0.04,1257,0.392430267,3.44011055274774,3.470000029
"157",314,5,168,28.6,-0.09,1842,0.38086259,3.55161585328557,3.46
"158",315,5,176,28.4,-0.07,2532,0.358122542,3.5147267207753,3.49
"159",316,-3,-176,28.8,-0.06,2613,0.319585174,3.54259035884237,3.5
"160",317,-3,-168,28.1,-0.04,1973,0.320029384,3.54626880577332,3.5
"161",327,-3,-88,23.5,0.11,422,0.327751918,3.57480362325176,3.5
"162",328,-3,-80,22.8,0.23,0,0.320725843,3.56786071991383,3.5
"163",332,-3,-48,28.1,-0.16,0,0.308519031,3.59540794780753,3.5
"164",333,-3,-40,27.3,-0.09,0,0.352081846,3.58202825405247,3.5
"165",334,-3,-32,27.3,-0.02,439,0.365453819,3.59185185130247,3.514999995
"166",336,-3,-16,26.1,-0.08,1200,0.314269039,3.617390001214,3.4
"167",337,-3,-8,25.4,-0.06,856,0.337971192,3.635229999186,3.62
"168",338,-3,0,25.7,-0.02,920,0.335133222,3.52394871712513,3.5
"169",339,-3,8,26.1,-0.09,207,0.404559842,3.67064682310595,3.61
"170",340,-3,16,24.6,0.02,0,0.255606334,3.71592184255411,3.66
"171",343,-3,40,27,-0.09,0,0.460992661,3.55204040297677,3.5
"172",345,-3,56,28.4,-0.1,116,0.40770391,3.51296184849799,3.5
"173",346,-3,64,28.7,-0.12,924,0.287745862,3.636420000325,3.42
"174",347,-3,72,28.8,-0.04,411,0.390588239,3.48379065201728,3.48
"175",350,-3,96,28.7,-0.04,400,0.483971705,3.532119995402,3.5
"176",351,-3,104,28.8,0.2,0,0.605473707,3.48199287845677,3.5
"177",352,-3,112,27.8,0.26,0,0.519871263,3.39857867837868,3.4
"178",353,-3,120,28.9,0.07,0,0.548722347,3.42520611997245,3.4
"179",354,-3,128,28.5,0.11,0,0.566865756,3.44761088793448,3.41
"180",355,-3,136,29.2,-0.09,0,0.563437429,3.4770714293051,3.46
"181",356,-3,144,29.2,-0.11,12,0.535474185,3.45624849115996,3.455000024
"182",357,-3,152,29.4,-0.09,0,0.51828179,3.48836751179695,3.45
"183",360,-3,176,28.6,0,87.85,0.355724527,3.544439994544,3.4
"184",361,-11,-176,28.8,-0.05,445,0.385829528,3.49059596126364,3.5
"185",362,-11,-168,28.7,-0.03,487,0.345447714,3.43611955267984,3.460000038
"186",365,-11,-144,28.1,-0.17,576,0.33738401,3.52855991928197,3.5
"187",366,-11,-136,27.8,-0.19,305,0.316226844,3.50674044150905,3.5
"188",378,-11,-40,27,-0.08,0,0.326347531,3.60329086883015,3.53
"189",379,-11,-32,25.7,-0.03,474,0.36907491,3.58778615057434,3.53
"190",381,-11,-16,25.2,-0.12,2120,0.31510888,3.687659997388,3.71
"191",384,-11,8,23.4,-0.07,560,0.381432725,3.58644511535146,3.4
"192",385,-11,16,24.5,-0.1,0,0.348405097,3.671589999956,3.555
"193",388,-11,40,27.3,-0.01,0,0.480486745,3.48353413627912,3.49
"194",389,-11,48,27.8,-0.11,70,0.483017393,3.54409504502123,3.5
"195",390,-11,56,26.5,0,696,0.417400213,3.65995080023594,3.5
"196",391,-11,64,27.1,-0.07,753,0.334457948,3.60642570226707,3.5
"197",392,-11,72,27.2,0.1,531,0.348520107,3.631280001347,3.5
"198",395,-11,96,27.7,0.03,102,0.337360204,3.54775983781534,3.5
"199",396,-11,104,27.8,0.12,203,0.536252807,3.48371717216263,3.45
"200",397,-11,112,28,-0.05,335,0.589176686,3.51408282755455,3.5
"201",398,-11,120,28.3,-0.07,126,0.623887594,3.47231079632089,3.5
"202",399,-11,128,27.7,-0.13,238,0.59347109,3.59219517080483,3.51
"203",400,-11,136,27.7,-0.18,21,0.535773511,3.6177620952379,3.56
"204",401,-11,144,27,-0.09,2,0.636895136,3.48744209409164,3.5
"205",402,-11,152,27.4,0,20,0.592142779,3.4468238888836,3.4
"206",403,-11,160,28.6,-0.06,7,0.490355843,3.47581180269888,3.460000038
"207",404,-11,168,28.6,-0.09,119,0.463051631,3.44457520307927,3.47
