"","GRIDCODE","lat","lat.t","long","N","niche.mean","niche.med","niche.sd","niche.min","niche.max","niche.range","SST","Prod","Dist","bio"
"74",134,40,130,168,1000,0.156225806684,0.161290323,0.0909099180380602,0.032258065,0.35483871,0.322580645,10.8,-0.2,1890,0.286794072
"75",136,30,120,-176,1000,0.149516129234,0.129032258,0.094038058051433,0.032258065,0.35483871,0.322580645,20.4,-0.03,3098,0.297257599
"76",137,30,120,-168,1000,0.146580645355,0.129032258,0.0844947332797684,0.032258065,0.35483871,0.322580645,19.8,-0.18,2892,0.304798646
"77",138,30,120,-160,1000,0.125000000238,0.096774194,0.0838221142758933,0.032258065,0.35483871,0.322580645,20.1,-0.05,2860,0.301794413
"78",139,30,120,-152,1000,0.148032258274,0.129032258,0.0864085969787851,0.032258065,0.35483871,0.322580645,19.5,-0.13,2957,0.312407956
"79",140,30,120,-144,1000,0.138290322783,0.129032258,0.0812171327253243,0.032258065,0.35483871,0.322580645,20.2,-0.05,2244,0.288488363
"80",141,30,120,-136,1000,0.131419355019,0.129032258,0.0765825757411665,0.032258065,0.35483871,0.322580645,19.5,-0.12,1546,0.288517194
"81",142,30,120,-128,1000,0.150967742132,0.129032258,0.0847134884775639,0.032258065,0.35483871,0.322580645,17.5,-0.06,852,0.355372637
"82",143,30,120,-120,1000,0.161419355021,0.129032258,0.0922273699517926,0.032258065,0.548387097,0.516129032,15.5,-0.23,382,0.417153829
"83",144,30,120,-112,1000,0.137709677624,0.129032258,0.091094704346903,0.032258065,0.483870968,0.451612903,20.8,-0.44,0,0.375870714
"84",146,30,120,-96,1000,0.191903225988,0.161290323,0.132380903701706,0.032258065,0.838709677,0.806451612,21,0.08,0,0.39926719
"85",147,30,120,-88,1000,0.181903225981,0.161290323,0.134551620042787,0.032258065,0.838709677,0.806451612,21,-0.04,9,0.46511967
"86",148,30,120,-80,1000,0.16532258082,0.129032258,0.119411834948069,0.032258065,0.838709677,0.806451612,22.3,-0.03,129,0.517017158
"87",149,30,120,-72,1000,0.170967742106,0.129032258,0.118045967957362,0.032258065,0.741935484,0.709677419,23.2,-0.08,701,0.465806343
"88",150,30,120,-64,1000,0.158064516309,0.129032258,0.125197297126412,0.032258065,0.838709677,0.806451612,23,-0.14,1280,0.362526844
"89",151,30,120,-56,1000,0.144032258241,0.096774194,0.104584238445408,0.032258065,0.64516129,0.612903225,22.7,-0.07,1530,0.301756045
"90",152,30,120,-48,1000,0.130032258239,0.096774194,0.0853043277693137,0.032258065,0.387096774,0.354838709,22.1,-0.1,2155,0.282960403
"91",153,30,120,-40,1000,0.128419355028,0.096774194,0.0839789405347859,0.032258065,0.387096774,0.354838709,22,-0.09,2556,0.280097776
"92",154,30,120,-32,1000,0.137354838874,0.096774194,0.0986104327850823,0.032258065,0.709677419,0.677419354,21.2,-0.18,1771,0.308404549
"93",155,30,120,-24,1000,0.126935484065,0.096774194,0.0850642697875661,0.032258065,0.35483871,0.322580645,20.8,-0.1,1029,0.34828761
"94",156,30,120,-16,1000,0.155870967901,0.129032258,0.10840374804354,0.032258065,0.709677419,0.677419354,20,-0.12,385,0.48116094
"95",157,30,120,-8,1000,0.189032258216,0.161290323,0.115667799270841,0.032258065,0.709677419,0.677419354,18.9,-0.1,0,0.403900941
"96",159,30,120,8,1000,0.25883870977,0.225806452,0.139816328832201,0.032258065,0.709677419,0.677419354,20,-0.04,0,0.256312305
"97",160,30,120,16,1000,0.1588064518,0.129032258,0.119724127108025,0.032258065,0.709677419,0.677419354,20.3,-0.15,0,0.276788265
"98",161,30,120,24,1000,0.195161290457,0.193548387,0.121915785069372,0.032258065,0.709677419,0.677419354,20.6,-0.17,0,0.284115838
"99",162,30,120,32,1000,0.140096774407,0.129032258,0.0967868450530872,0.032258065,0.580645161,0.548387096,22.4,-0.05,0,0.437668065
"100",163,30,120,40,1000,0.169709677591,0.161290323,0.12040865114009,0.032258065,0.548387097,0.516129032,21,0.13,0,0.269464186
"101",164,30,120,48,1000,0.124451613163,0.096774194,0.0753852214683855,0.032258065,0.35483871,0.322580645,21,-0.21,0,0.198677555
"102",165,30,120,56,1000,0.134903226074,0.129032258,0.0801601611995783,0.032258065,0.35483871,0.322580645,21,-0.28,0,0.292694573
"103",167,30,120,72,1000,0.162290322787,0.129032258,0.0889272325642597,0.032258065,0.322580645,0.29032258,21,-0.28,0,0.000131718
"104",173,30,120,120,1000,0.126419355041,0.112903226,0.0712115482340179,0.032258065,0.387096774,0.354838709,17.6,-0.15,0,0.531357853
"105",174,30,120,128,1000,0.119064516377,0.096774194,0.0740165052407492,0.032258065,0.387096774,0.354838709,21.3,-0.08,260,0.733517745
"106",175,30,120,136,1000,0.126000000252,0.096774194,0.0830969231310012,0.032258065,0.548387097,0.516129032,21.6,-0.09,363,0.666606948
"107",176,30,120,144,1000,0.149741935673,0.129032258,0.0848255278531387,0.032258065,0.35483871,0.322580645,22.3,-0.02,656,0.486713221
"108",180,30,120,176,1000,0.172967742144,0.161290323,0.0938894085295065,0.032258065,0.35483871,0.322580645,21.3,0.02,3407,0.270348495
"109",182,21,111,-168,1000,0.146387096982,0.129032258,0.0829676614270807,0.032258065,0.35483871,0.322580645,25.5,-0.1,1326,0.333262331
"110",183,21,111,-160,1000,0.125322580851,0.096774194,0.0815444386880033,0.032258065,0.483870968,0.451612903,25.4,-0.05,458,0.396051413
"111",184,21,111,-152,1000,0.145774193752,0.129032258,0.0852408085062315,0.032258065,0.387096774,0.354838709,24.1,-0.12,351.53,0.372287706
"112",188,21,111,-120,1000,0.131387097005,0.096774194,0.0867430205108666,0.032258065,0.35483871,0.322580645,20.6,-0.11,895,0.314534451
"113",189,21,111,-112,1000,0.130709677661,0.096774194,0.089529926194246,0.032258065,0.483870968,0.451612903,21.5,0.02,278,0.409505814
"114",190,21,111,-104,1000,0.128258064745,0.129032258,0.0844661281802318,0.032258065,0.419354839,0.387096774,23.9,-0.06,0,0.339088808
